Order Date,Segment,Market,Sales,Profit
2012-06-14,Consumer,APAC,1024.6800000000003,-286.9200000000003
2011-12-01,Consumer,US,2807.84,673.8816000000002
2013-06-25,Consumer,US,4476.8,503.6399999999997
2012-12-06,Home Office,LATAM,2297.96,988.12
2013-09-05,Corporate,EU,2671.41,534.24
2014-09-18,Consumer,Africa,3834.000000000001,268.38
2014-09-12,Home Office,US,2054.2720000000004,256.78399999999976
2012-08-03,Corporate,APAC,3501.7368,210.8568
2014-12-09,Home Office,APAC,1725.4620000000004,747.6120000000001
2012-10-25,Consumer,APAC,1583.7,174.14999999999998
2012-07-13,Consumer,US,1931.04,321.8399999999999
2013-08-27,Home Office,APAC,2760.3450000000003,-214.725
2011-05-13,Corporate,APAC,3078.7200000000007,523.0799999999999
2011-11-03,Consumer,EU,1983.135,-1784.895
2014-08-02,Consumer,EU,1112.778,296.6580000000001
2011-09-20,Consumer,EU,3616.5,36.0
2014-01-08,Corporate,US,3059.982,679.9959999999996
2013-03-11,Consumer,APAC,2892.105,160.60500000000008
2012-02-02,Consumer,EU,3263.4000000000005,848.4000000000001
2013-09-09,Consumer,US,2396.2656,-317.15280000000007
2014-04-09,Corporate,LATAM,3117.088,38.94800000000005
2013-03-02,Consumer,US,4899.93,2400.9657
2014-03-19,Home Office,LATAM,1888.7,887.6
2013-10-02,Consumer,APAC,3000.78,1080.18
2013-01-12,Corporate,EU,3801.63,1444.59
2014-08-20,Consumer,EMEA,5211.12,1146.24
2011-12-17,Corporate,APAC,1356.0300000000002,311.85
2014-03-14,Consumer,APAC,3569.643,674.163
2013-03-26,Consumer,US,1287.45,244.61549999999988
2014-07-09,Consumer,APAC,2910.0815999999995,125.12159999999994
2013-06-11,Home Office,APAC,3126.400199999999,-128.71979999999962
2011-08-10,Consumer,EU,5276.988,1758.8879999999997
2014-03-17,Consumer,APAC,2645.376,-0.0240000000001145
2013-01-02,Consumer,APAC,1637.0100000000002,-36.39000000000004
2013-11-26,Consumer,US,4499.985000000001,-6599.978000000001
2012-10-10,Consumer,APAC,2645.376,-0.0240000000001145
2014-10-23,Home Office,US,2399.6,647.892
2011-06-17,Corporate,APAC,3238.305,-740.2949999999998
2014-04-03,Corporate,EU,2291.8140000000003,127.13399999999992
2011-05-17,Consumer,LATAM,2124.5000000000005,488.6
2014-02-11,Home Office,EMEA,2757.78,744.48
2013-10-12,Consumer,EU,1549.98,139.32
2011-09-19,Consumer,US,2624.985,-944.9946000000004
2014-07-17,Corporate,EMEA,3146.4,629.28
2014-11-22,Corporate,EU,2456.619,664.719
2011-05-30,Consumer,EU,2228.6355,-754.4144999999997
2014-04-01,Corporate,US,2999.95,1439.976
2014-07-17,Corporate,APAC,4001.04,1440.24
2014-08-29,Home Office,EU,4876.875,745.875
2012-12-26,Consumer,APAC,1788.8219999999997,204.28200000000004
2014-11-11,Home Office,APAC,3622.29,1267.77
2013-05-01,Consumer,APAC,1242.585,-140.71500000000017
2011-08-16,Corporate,EU,4453.050000000001,1424.85
2014-12-03,Consumer,APAC,2673.36,1069.1999999999998
2013-06-25,Consumer,APAC,2046.195,591.0450000000001
2013-01-21,Consumer,EU,5451.299999999999,2071.44
2013-10-22,Home Office,US,4535.976000000001,1644.2913
2014-07-12,Consumer,APAC,1722.2832,539.4431999999999
2013-12-26,Corporate,US,2575.944,257.5944000000003
2014-09-01,Home Office,EU,1007.424,134.30399999999997
2011-11-17,Corporate,US,2934.33,792.2691000000002
2011-06-07,Home Office,APAC,4624.290000000001,1644.0300000000002
2011-10-13,Corporate,EU,1066.446,-11.934000000000026
2013-06-10,Home Office,APAC,957.6,0.0
2014-12-13,Home Office,APAC,4864.32,162.12
2014-10-13,Consumer,US,2154.9,129.29399999999987
2014-06-10,Consumer,APAC,1433.8394999999998,-84.37050000000002
2011-02-15,Home Office,Africa,2784.5999999999995,779.5199999999999
2013-11-28,Consumer,EU,3063.27,1470.2100000000005
2014-06-18,Home Office,US,3404.5,1668.205
2013-09-20,Home Office,US,1606.23,481.8689999999999
2011-08-09,Consumer,LATAM,2044.8000000000009,-332.2800000000002
2011-06-21,Consumer,US,1214.85,352.3065
2012-08-02,Corporate,APAC,1521.0,0.0
2012-06-19,Consumer,EU,2443.905,760.3049999999998
2012-07-16,Corporate,US,1348.7040000000002,-219.16440000000023
2013-08-02,Corporate,EMEA,1141.8000000000002,570.9000000000001
2014-05-22,Corporate,APAC,1865.97,802.17
2011-02-10,Corporate,APAC,6998.64,2939.31
2013-09-27,Consumer,EU,1091.25,119.97
2014-06-02,Home Office,APAC,1094.22,328.23
2013-09-30,Corporate,APAC,1320.6240000000005,484.2240000000001
2011-07-19,Consumer,APAC,2555.6400000000003,664.4399999999999
2014-08-14,Home Office,EMEA,3498.7200000000003,594.72
2013-07-26,Consumer,US,1439.976,191.9968
2014-10-31,Consumer,APAC,2272.8600000000006,977.22
2013-07-25,Consumer,APAC,5211.12,833.76
2014-10-07,Home Office,APAC,2582.16,361.44
2014-10-17,Home Office,APAC,3194.55,830.55
2013-12-03,Consumer,APAC,1704.9959999999996,378.876
2014-11-08,Corporate,APAC,1538.7209999999998,325.701
2013-06-10,Home Office,APAC,1381.3199999999997,593.9099999999999
2011-09-21,Home Office,EU,1181.547,498.8070000000001
2011-06-21,Consumer,EU,1696.2479999999998,734.9280000000001
2014-05-09,Home Office,US,3359.952,1049.985
2014-09-23,Consumer,US,4663.736000000001,-1049.3406
2014-11-26,Home Office,Africa,1237.56,606.36
2012-03-30,Consumer,Africa,1274.7,140.16
2011-11-10,Consumer,LATAM,3172.14,856.4399999999999
2014-08-22,Consumer,US,4305.552000000001,1453.1237999999996
2012-08-01,Corporate,EU,3979.29,1989.54
2014-12-23,Consumer,US,1586.6899999999998,412.5394
2014-07-04,Home Office,US,2395.2000000000003,209.58000000000004
2014-11-21,Consumer,US,1259.97,327.59220000000005
2013-01-23,Consumer,EMEA,2058.0,946.68
2011-05-21,Consumer,APAC,2539.8764999999994,709.9364999999999
2014-09-28,Consumer,EU,2898.21,1420.02
2011-11-06,Home Office,EU,1320.0075000000002,357.1575
2014-01-28,Corporate,EMEA,2171.16,-2750.2799999999997
2014-09-13,Corporate,APAC,4448.223,444.4830000000002
2012-12-01,Home Office,US,1913.4,401.8139999999999
2011-12-22,Consumer,LATAM,2300.6159999999995,38.1960000000001
2013-02-05,Home Office,Africa,2615.94,1072.44
2011-12-28,Consumer,APAC,1066.68,394.65
2013-05-28,Corporate,US,3504.9,700.9800000000001
2011-04-27,Corporate,Africa,2544.6000000000004,814.1999999999999
2011-10-06,Corporate,APAC,3694.68,886.6800000000001
2013-08-24,Home Office,APAC,2214.849,-221.5710000000001
2013-09-21,Home Office,LATAM,1236.4799999999998,111.28
2014-12-17,Corporate,LATAM,1805.9,126.40000000000002
2011-09-19,Corporate,US,3059.982,-509.9970000000008
2014-07-04,Home Office,US,1687.8,742.6320000000001
2011-05-21,Corporate,US,2715.9300000000003,1276.4871
2014-06-03,Consumer,LATAM,1810.3,54.29999999999999
2014-09-12,Consumer,LATAM,2120.5,106.0
2014-04-17,Consumer,APAC,1275.0,140.22
2012-11-21,Consumer,EU,1593.648,-225.16200000000003
2014-03-06,Corporate,EU,1114.236,383.706
2012-07-23,Consumer,EU,2944.08,1112.13
2014-11-07,Consumer,APAC,3309.2598,318.85979999999995
2014-11-22,Consumer,LATAM,897.4800000000001,322.92
2011-06-11,Consumer,EU,2056.05,390.6
2012-09-14,Corporate,LATAM,2365.6592,18.8592
2011-11-25,Consumer,APAC,1336.356,44.43600000000004
2012-08-10,Consumer,APAC,3038.64,1245.84
2013-03-20,Consumer,EU,2698.65,890.46
2013-12-30,Corporate,Africa,3799.08,455.7600000000001
2012-10-04,Consumer,APAC,2756.3399999999992,413.28
2012-08-06,Home Office,EU,983.88,-11.16000000000001
2012-10-02,Home Office,APAC,1719.8069999999998,117.65700000000004
2014-03-26,Consumer,APAC,1421.5410000000002,428.1209999999999
2014-11-21,Consumer,LATAM,1053.6884,441.2884
2011-11-30,Consumer,EU,1440.84,-1268.0400000000002
2011-11-03,Corporate,APAC,2544.372,621.792
2012-11-23,Consumer,US,2625.12,735.0336
2012-12-06,Consumer,EMEA,1554.48,341.76
2013-12-03,Consumer,LATAM,1278.0000000000005,89.46
2012-12-20,Corporate,LATAM,3474.0800000000004,625.28
2012-09-13,Consumer,LATAM,2550.0,357.0
2013-11-04,Consumer,US,1101.48,429.57720000000006
2013-11-16,Consumer,US,1016.792,381.297
2013-04-08,Corporate,US,1199.976,374.9925
2012-05-23,Consumer,EMEA,934.248,-1331.6519999999998
2014-11-18,Consumer,US,10499.97,5039.9856
2014-04-14,Corporate,Africa,3908.88,1563.48
2014-08-29,Home Office,LATAM,2142.3,556.9
2014-05-16,Consumer,APAC,1900.584,-348.5160000000001
2012-12-13,Consumer,Africa,1840.68,496.98
2011-03-31,Consumer,EU,2624.04,446.04
2012-02-04,Corporate,APAC,3076.5,215.25
2013-05-29,Corporate,APAC,3181.7718,344.9717999999997
2012-08-29,Consumer,EU,1392.6330000000005,-139.55700000000002
2011-06-15,Consumer,APAC,1296.2400000000002,285.12
2014-08-28,Consumer,APAC,1682.91,487.98
2011-10-27,Consumer,LATAM,1278.0000000000005,89.46
2014-03-19,Home Office,EMEA,2570.76,976.8
2014-09-11,Home Office,LATAM,2332.96,349.86
2012-08-28,Home Office,APAC,1582.1999999999998,-870.3000000000002
2014-08-16,Corporate,US,1801.632,-337.80600000000004
2013-08-01,Corporate,APAC,1512.0,498.96
2013-06-10,Consumer,US,695.7,-27.82799999999997
2014-12-24,Consumer,Africa,2550.0,714.0
2012-12-15,Consumer,US,2025.36,607.6080000000001
2012-02-23,Home Office,EU,2285.7,845.7
2014-10-11,Consumer,APAC,1029.2588999999998,10.818900000000014
2014-04-21,Corporate,LATAM,1058.2792000000002,-2.1208
2013-06-12,Consumer,APAC,5751.540000000001,2817.99
2013-09-17,Home Office,EU,2442.069,-244.251
2014-09-19,Home Office,APAC,1190.52,178.56
2014-11-26,Consumer,EU,3150.8189999999995,-35.09100000000001
2014-09-01,Home Office,EU,1599.9,719.85
2014-06-20,Corporate,APAC,2063.4,123.75
2014-10-23,Home Office,EMEA,1269.9,558.72
2011-08-16,Corporate,APAC,3274.0200000000004,261.9
2014-09-12,Consumer,LATAM,848.32,110.28
2012-08-24,Consumer,US,3080.0,1416.7999999999995
2014-01-14,Consumer,EU,2847.36,711.84
2014-11-13,Home Office,APAC,1725.75,-483.2999999999999
2013-06-13,Consumer,APAC,1479.3137999999997,-63.64619999999999
2012-12-24,Corporate,US,4899.93,2302.9671
2014-09-22,Consumer,APAC,1282.2299999999998,12.69
2011-01-08,Consumer,Africa,2478.6,49.5
2013-10-03,Corporate,US,17499.949999999997,8399.975999999999
2013-07-30,Corporate,APAC,959.76,460.62
2012-07-31,Consumer,US,1090.782,-290.8752
2014-04-30,Home Office,APAC,4135.641,847.0409999999999
2011-09-28,Consumer,LATAM,2325.28,511.52
2014-06-24,Consumer,APAC,5486.67,2316.51
2011-04-06,Home Office,EU,1523.664,-50.97600000000003
2014-08-07,Corporate,EU,1625.2425000000003,-76.5675
2013-11-19,Corporate,US,1319.96,527.984
2014-02-14,Consumer,EU,734.9399999999999,130.62000000000003
2014-11-29,Home Office,US,2065.32,-619.5960000000001
2012-08-17,Consumer,EMEA,1391.52,69.36
2012-08-31,Corporate,US,1552.831,200.95460000000008
2012-08-07,Consumer,LATAM,2461.0600000000004,566.02
2014-01-27,Consumer,US,2939.9300000000003,764.3818000000001
2011-09-08,Consumer,US,8159.951999999999,-1359.992000000002
2012-08-09,Consumer,APAC,1226.19,612.99
2013-02-21,Consumer,APAC,1809.255,-258.495
2012-07-18,Corporate,APAC,1863.0,393.24
2011-11-19,Consumer,US,4548.81,1228.1787000000004
2014-04-09,Consumer,EU,1244.187,-13.92300000000003
2012-06-18,Consumer,EU,2364.102,-218.29799999999975
2013-12-31,Corporate,EU,1946.313,114.45300000000007
2014-06-30,Consumer,US,895.92,302.37299999999993
2012-01-16,Corporate,EU,2283.714,-0.2160000000000081
2012-06-12,Consumer,Africa,2549.76,1172.88
2014-03-17,Home Office,APAC,3299.5620000000004,366.2819999999999
2012-11-13,Consumer,EU,2489.4,273.78000000000003
2013-11-27,Consumer,US,3406.664,160.31359999999984
2012-12-06,Home Office,US,999.98,449.991
2014-05-16,Home Office,EU,1189.242,250.992
2014-12-25,Home Office,US,2879.952,1007.9832
2014-12-22,Corporate,LATAM,1269.6,355.44
2013-09-14,Home Office,APAC,3499.155,-3009.4350000000004
2013-01-07,Consumer,APAC,2993.025,726.8249999999998
2014-06-27,Home Office,EU,815.9490000000001,287.919
2012-07-13,Consumer,EU,1245.0000000000002,161.76
2014-02-11,Consumer,APAC,1027.728,182.688
2014-05-29,Consumer,APAC,1703.0250000000003,737.9250000000001
2014-04-16,Consumer,APAC,1803.0837,-130.38630000000003
2014-11-27,Corporate,EU,676.485,195.28500000000005
2011-11-09,Corporate,APAC,969.36,348.81
2014-09-18,Corporate,EU,1637.0100000000002,90.80999999999996
2014-02-24,Consumer,LATAM,1655.9614399999998,13.201440000000002
2013-09-03,Corporate,LATAM,976.9599999999998,232.0
2013-12-23,Corporate,APAC,731.34,175.5
2014-06-17,Consumer,Africa,1239.0,0.0
2014-03-15,Home Office,APAC,1680.6059999999998,368.256
2014-07-12,Consumer,APAC,2190.75,65.7
2014-06-09,Consumer,EU,935.172,114.252
2014-10-15,Consumer,EU,1026.96,441.36
2014-08-06,Consumer,APAC,2550.0,280.44
2012-12-07,Corporate,EU,1224.7140000000002,-129.726
2012-12-25,Corporate,APAC,2667.537,-417.81299999999993
2013-05-16,Consumer,EU,2605.92,1042.32
2013-06-17,Consumer,EMEA,2962.6800000000003,207.06
2014-11-03,Consumer,APAC,2664.0,905.7
2012-05-28,Consumer,EU,1513.56,741.5999999999999
2013-08-17,Corporate,EU,1233.63,234.36
2011-06-03,Consumer,EMEA,855.1499999999999,384.81000000000006
2011-07-14,Consumer,EU,956.34,-95.70000000000002
2011-09-29,Corporate,US,1801.632,-337.80600000000004
2011-10-17,Consumer,EU,1838.52,160.77000000000004
2011-11-14,Home Office,APAC,4498.83,674.7300000000001
2014-07-14,Consumer,EU,1824.144,-1303.0560000000005
2014-06-03,Consumer,LATAM,2344.0,46.88
2014-12-15,Consumer,APAC,2043.7200000000005,756.0
2014-06-28,Corporate,Africa,856.8,265.44
2014-12-20,Corporate,LATAM,2509.3600000000006,426.58
2012-02-06,Consumer,APAC,819.9359999999999,191.31600000000003
2011-01-21,Consumer,LATAM,2797.2480000000005,-0.0720000000000254
2012-08-03,Consumer,LATAM,1455.08,261.8
2014-10-27,Corporate,APAC,2189.0898,541.3697999999999
2012-02-27,Home Office,APAC,5451.299999999999,327.06000000000006
2012-06-11,Corporate,EMEA,1291.08,296.94
2011-02-23,Corporate,APAC,1526.52,732.72
2014-09-15,Home Office,US,1079.85,323.9549999999999
2013-07-20,Home Office,LATAM,1869.72,205.56000000000003
2013-03-29,Consumer,LATAM,1815.24,471.94000000000005
2014-10-23,Corporate,APAC,959.76,460.62
2014-06-24,Consumer,LATAM,3045.84,1035.5800000000002
2013-10-30,Home Office,LATAM,2125.0,297.5
2012-12-13,Consumer,Africa,976.08,292.79999999999995
2013-05-04,Consumer,APAC,1266.36,265.92
2014-05-08,Corporate,US,1458.65,423.0085
2011-09-08,Home Office,Africa,2134.44,682.92
2012-04-22,Corporate,EU,4748.436000000001,844.1159999999998
2013-10-30,Corporate,Africa,1867.5000000000005,242.64
2011-04-16,Home Office,APAC,1001.7,250.38
2012-10-12,Home Office,US,899.1360000000001,112.39199999999992
2014-05-26,Consumer,US,663.92,207.47499999999997
2014-10-31,Home Office,APAC,4306.32,1722.48
2013-04-12,Home Office,APAC,899.55,323.82
2013-11-11,Home Office,APAC,763.92,381.96
2012-10-13,Consumer,EU,2544.24,1093.92
2012-10-13,Consumer,APAC,1136.6639999999998,-189.4559999999999
2014-01-30,Corporate,APAC,2300.9999999999995,91.95
2012-10-12,Consumer,Africa,3908.88,1563.48
2013-12-06,Corporate,US,1951.84,585.5519999999999
2014-12-03,Consumer,US,2479.96,743.9879999999998
2013-09-19,Consumer,APAC,2249.16,224.88
2012-12-31,Corporate,LATAM,2528.26,176.96000000000004
2014-12-29,Consumer,EU,1461.1350000000002,202.18499999999997
2013-11-15,Consumer,LATAM,3045.84,1035.5800000000002
2011-09-12,Consumer,US,3785.292,420.5880000000002
2014-05-15,Consumer,US,1399.93,601.9699
2014-09-08,Consumer,APAC,2152.956,198.6360000000002
2013-06-17,Consumer,EU,1244.1,447.75000000000006
2011-12-08,Corporate,LATAM,2226.8160000000003,500.976
2014-09-19,Consumer,APAC,1586.4119999999998,17.531999999999982
2013-11-27,Corporate,US,3040.0,1459.2
2014-02-10,Consumer,EMEA,3425.4000000000005,1233.0
2014-02-08,Corporate,EU,1136.94,568.4399999999999
2013-08-05,Corporate,APAC,677.6351999999999,211.2552
2014-04-15,Home Office,EMEA,731.34,80.4
2011-03-21,Corporate,US,3499.9300000000003,909.9818000000002
2014-05-05,Consumer,APAC,1272.72,534.48
2013-11-04,Consumer,EU,1856.34,909.54
2014-06-10,Corporate,EU,2295.0,459.0
2012-08-31,Corporate,EU,1622.1825000000003,324.38249999999994
2013-06-20,Consumer,APAC,1063.44,361.41
2014-08-23,Corporate,EMEA,3449.88,275.94
2012-05-28,Home Office,LATAM,585.456,-0.0240000000000009
2014-05-19,Consumer,Africa,1429.4399999999998,471.6
2013-04-29,Corporate,Africa,1057.8,158.64
2013-12-23,Corporate,APAC,1092.96,393.39
2014-10-12,Consumer,LATAM,1483.0,741.5
2014-04-15,Home Office,LATAM,1792.4000000000003,304.7
2014-11-28,Corporate,EU,2455.677,-191.16300000000007
2012-05-11,Consumer,EMEA,1900.44,417.96
2013-06-18,Consumer,APAC,3712.590000000001,849.87
2012-05-04,Home Office,APAC,2372.22,0.0
2011-11-11,Home Office,APAC,5725.35,1602.9899999999998
2014-12-24,Consumer,EU,2553.1800000000003,842.5199999999999
2014-05-15,Corporate,LATAM,2003.52,861.4800000000001
2014-12-09,Consumer,EMEA,1188.36,95.04
2011-12-07,Home Office,APAC,2875.0950000000007,511.0949999999999
2013-09-10,Consumer,EU,2380.5,952.2
2011-03-03,Corporate,EMEA,1619.1000000000004,258.9
2012-01-02,Corporate,APAC,2821.7178,339.8778
2012-10-30,Corporate,APAC,2991.1032,-128.7468
2013-11-19,Consumer,APAC,1798.6763999999998,86.63639999999998
2013-08-15,Consumer,EMEA,2544.84,712.4399999999999
2013-06-08,Home Office,APAC,951.7199999999998,228.36
2014-10-02,Consumer,APAC,2575.92,978.84
2014-02-27,Consumer,EU,1699.83,84.96000000000001
2013-10-31,Home Office,APAC,2634.552,116.952
2013-12-18,Corporate,APAC,3707.352,1554.432
2014-05-09,Consumer,APAC,4298.85,300.9
2014-07-04,Corporate,APAC,3417.4800000000005,854.28
2012-05-17,Consumer,EU,2080.32,561.5999999999999
2011-08-03,Corporate,APAC,840.6,319.35
2013-07-29,Consumer,US,1369.764,-913.176
2013-02-14,Home Office,Africa,1288.8,90.0
2012-05-23,Home Office,APAC,660.69,44.04000000000002
2014-08-04,Corporate,EMEA,3234.24,970.2
2013-11-13,Consumer,LATAM,2171.3,390.8
2014-02-12,Consumer,APAC,2074.7340000000004,276.534
2014-11-11,Consumer,LATAM,849.8000000000002,195.44
2013-03-30,Home Office,APAC,1177.173,353.133
2013-08-24,Home Office,Canada,2270.34,1112.4
2014-11-02,Consumer,US,2665.62,239.9058000000001
2013-08-19,Corporate,APAC,2863.08,-458.19000000000005
2014-05-29,Home Office,EU,1253.07,236.67
2012-08-22,Home Office,EMEA,3369.24,606.42
2014-07-05,Consumer,Africa,1464.12,439.19999999999993
2012-03-14,Consumer,EU,1273.125,-993.195
2014-10-02,Home Office,US,1704.89,767.2004999999999
2014-09-16,Corporate,LATAM,1258.7774,375.7774
2014-08-07,Consumer,APAC,2584.008,290.5980000000002
2013-09-09,Consumer,APAC,1482.39,68.31000000000006
2014-09-08,Consumer,LATAM,1274.7000000000005,293.16
2011-10-31,Consumer,US,1604.9,481.4699999999999
2012-10-17,Consumer,LATAM,2818.0799999999995,225.36
